-1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-1,-1,10,10,10,5,5,5,1,1,1,0.5,0.5,0.5,0.1,0.1,0.1,0.05,0.05,0.05,0.01,0.01,0.01,0.005,0.005,0.005,0.001,0.001,0.001,0,0,0
1,0,0.882888849,0.921009566,0.897469881,0.934520638,0.934920592,0.894823124,0.860861837,0.802874915,0.851942798,0.944600027,0.903877944,0.853850213,0.923837355,0.951884011,0.941647095,0.946363979,0.963025032,0.947397509,0.938579205,0.923598107,0.949789195,0.879281762,0.904185962,0.83830692,0.904057751,0.898341961,0.897053907,0.873753821,0.875550147,0.883864788
2,0,0.711383359,0.752147814,0.716934127,0.577850218,0.587562116,0.590780524,0.436550856,0.42817362,0.424161293,0.444505011,0.416807177,0.420439782,0.397035201,0.407638478,0.414341338,0.392443461,0.397069516,0.43722995,0.389458469,0.390101688,0.397855243,0.375344089,0.389576312,0.373528691,0.380045685,0.378782896,0.373461487,0.348002029,0.360373056,0.365551042
3,0,0.712891956,0.748360716,0.709294516,0.58788554,0.569319647,0.605985497,0.422172767,0.42444262,0.418310049,0.430824037,0.420266859,0.428608881,0.394057027,0.427529491,0.405459187,0.423931454,0.400079787,0.435253468,0.393016016,0.371517621,0.405877843,0.380097202,0.383357213,0.381878259,0.368724773,0.382735036,0.380486471,0.354659849,0.359368196,0.362362006
4,0,0.340878643,0.348803822,0.349056758,0.365744415,0.371852073,0.377261225,0.350893752,0.374410595,0.360778329,0.387326765,0.38976903,0.378793051,0.380391039,0.393464083,0.371534759,0.411460423,0.369317248,0.378631413,0.367976382,0.371396463,0.404054158,0.364413669,0.379592031,0.354574834,0.367121181,0.363718452,0.364758543,0.342925247,0.348941604,0.351827615
5,0,0.345640209,0.34432399,0.349526165,0.359362915,0.336354499,0.362818783,0.347969049,0.362581692,0.348078809,0.360803782,0.347920756,0.367612886,0.365442864,0.356468817,0.335850752,0.379078164,0.353103869,0.373800054,0.364881,0.334295668,0.354764364,0.345694255,0.357928873,0.34411099,0.346657947,0.354706661,0.354148685,0.336709289,0.351892723,0.349993947
6,0,0.68020396,0.731664627,0.708599568,0.552687875,0.551942419,0.565079012,0.398557122,0.411965083,0.403962622,0.405424874,0.397769545,0.404265921,0.395607542,0.388639485,0.377225937,0.402311131,0.373132169,0.405761327,0.381792334,0.347102775,0.371987422,0.3638163,0.362329089,0.378658431,0.368610454,0.384822052,0.38123493,0.357333188,0.367674429,0.365712682
7,0,0.677819108,0.72710304,0.704570026,0.552324853,0.547145857,0.543350348,0.394129279,0.412604654,0.424056788,0.402592005,0.397828689,0.412262478,0.391242374,0.384545252,0.378854939,0.38347755,0.366726246,0.389157043,0.362327928,0.357603267,0.379442135,0.36728031,0.357090137,0.371403296,0.357420902,0.374518488,0.372572342,0.351516656,0.351531761,0.355119525
8,0,0.670371913,0.744219117,0.716895403,0.543354375,0.550156415,0.529339691,0.401490177,0.412273806,0.407324952,0.404490046,0.402773315,0.409997669,0.37176385,0.341997307,0.38952538,0.410519084,0.377399082,0.370900715,0.339881132,0.367799636,0.360629983,0.355653059,0.364909005,0.336627849,0.361211828,0.360843682,0.364946193,0.33766328,0.342076133,0.339851811
9,0,0.678322051,0.74978714,0.751400444,0.663146263,0.591114476,0.61525411,0.424810896,0.433805596,0.439285134,0.441364668,0.415508664,0.42928228,0.410785341,0.407020191,0.388892546,0.400181362,0.409199729,0.405894718,0.392628941,0.365472534,0.389133197,0.368998493,0.372826248,0.372251871,0.37925633,0.369456707,0.373187245,0.370971544,0.370655243,0.361163321
10,0,0.658677458,0.729680964,0.715886186,0.555526934,0.580885786,0.566673228,0.41432472,0.41907234,0.427832746,0.39312214,0.399512284,0.4099331,0.399920931,0.400103055,0.377403825,0.390605205,0.38221228,0.380117261,0.377366035,0.361139444,0.367457363,0.366550273,0.361238209,0.37397339,0.366391018,0.369002419,0.368809293,0.355535303,0.356122344,0.361312181
11,0,0.662601306,0.752564286,0.72367185,0.574658952,0.569992881,0.54114886,0.399224178,0.415923908,0.419844602,0.40868497,0.396774435,0.394723472,0.391870061,0.382124483,0.373684637,0.403229211,0.373131704,0.392868735,0.36967508,0.367312427,0.359662395,0.363911956,0.36056927,0.37461606,0.355750732,0.366724999,0.369352606,0.352159781,0.356075676,0.363273646
